year,period,periodName,latest,value,footnotes,seriesID
2024,M02,February,,6458,[{}],LNS13000000
2024,M01,January,,6124,[{}],LNS13000000
2023,M12,December,,6268,[{}],LNS13000000
2023,M11,November,,6262,[{}],LNS13000000
2023,M10,October,,6443,[{}],LNS13000000
2023,M09,September,,6347,[{}],LNS13000000
2023,M08,August,,6340,[{}],LNS13000000
2023,M07,July,,5904,[{}],LNS13000000
2023,M06,June,,5997,[{}],LNS13000000
2023,M05,May,,6117,[{}],LNS13000000
2023,M04,April,,5715,[{}],LNS13000000
2023,M03,March,,5866,[{}],LNS13000000
2023,M02,February,,5962,[{}],LNS13000000
2023,M01,January,,5719,[{}],LNS13000000
2022,M12,December,,5698,[{}],LNS13000000
2022,M11,November,,5956,[{}],LNS13000000
2022,M10,October,,5950,[{}],LNS13000000
2022,M09,September,,5755,[{}],LNS13000000
2022,M08,August,,5983,[{}],LNS13000000
2022,M07,July,,5783,[{}],LNS13000000
2022,M06,June,,5984,[{}],LNS13000000
2022,M05,May,,5966,[{}],LNS13000000
2022,M04,April,,6034,[{}],LNS13000000
2022,M03,March,,5993,[{}],LNS13000000
2022,M02,February,,6279,[{}],LNS13000000
2022,M01,January,,6549,[{}],LNS13000000
